kode_internal,mitra,biller,harga_jual,harga_enduser,f1,f2,f3
TP11010010,DDTEKNO,SMARTFREN,10300,10300,0,0,0
TP11010020,DDTEKNO,SMARTFREN,20550,20550,0,0,0
TP11010030,DDTEKNO,SMARTFREN,30450,30450,0,0,0
TP11010050,DDTEKNO,SMARTFREN,50150,50150,0,0,0
TP11010060,DDTEKNO,SMARTFREN,60150,60150,0,0,0
TP11010075,DDTEKNO,SMARTFREN,75400,75400,0,0,0
TP11010100,DDTEKNO,SMARTFREN,100150,100150,0,0,0
TP11010150,DDTEKNO,SMARTFREN,149600,149600,0,0,0
TP11010200,DDTEKNO,SMARTFREN,199500,199500,0,0,0
TP11010300,DDTEKNO,SMARTFREN,298500,298500,0,0,0
TP11010500,DDTEKNO,SMARTFREN,494950,494950,0,0,0
TP11011000,DDTEKNO,SMARTFREN,988900,988900,0,0,0
TP11040010,DDTEKNO,SMARTFREN,10400,10400,0,0,0
TP11040020,DDTEKNO,SMARTFREN,20000,20000,0,0,0
TP11040030,DDTEKNO,SMARTFREN,30000,30000,0,0,0
TP11040040,DDTEKNO,SMARTFREN,39600,39600,0,0,0
TP11040060,DDTEKNO,SMARTFREN,59300,59300,0,0,0
TP11040100,DDTEKNO,SMARTFREN,99000,99000,0,0,0
TP11040150,DDTEKNO,SMARTFREN,148550,148550,0,0,0
TP11040200,DDTEKNO,SMARTFREN,197000,197000,0,0,0
TP11040300,DDTEKNO,SMARTFREN,296000,296000,0,0,0
TP11040500,DDTEKNO,SMARTFREN,493050,493050,0,0,0
TP11041000,DDTEKNO,SMARTFREN,995700,995700,0,0,0
TP11030045,DDTEKNO,SMARTFREN,45000,45000,0,0,0
TP11030065,DDTEKNO,SMARTFREN,65050,65050,0,0,0
TP11030100,DDTEKNO,SMARTFREN,99200,99200,0,0,0
TP11020055,DDTEKNO,SMARTFREN,55700,55700,0,0,0
TP11020080,DDTEKNO,SMARTFREN,81100,81100,0,0,0
TP12010005,DDTEKNO,SMARTFREN,5800,5800,0,0,0
TP12010010,DDTEKNO,SMARTFREN,10700,10700,0,0,0
TP12010020,DDTEKNO,SMARTFREN,20400,20400,0,0,0
TP12010025,DDTEKNO,SMARTFREN,25300,25300,0,0,0
TP12010030,DDTEKNO,SMARTFREN,30500,30500,0,0,0
TP12010050,DDTEKNO,SMARTFREN,50500,50500,0,0,0
TP12010100,DDTEKNO,SMARTFREN,100300,100300,0,0,0
TP12010150,DDTEKNO,SMARTFREN,150200,150200,0,0,0
TP12010200,DDTEKNO,SMARTFREN,200300,200300,0,0,0
TP12010300,DDTEKNO,SMARTFREN,298800,298800,0,0,0
TP12010500,DDTEKNO,SMARTFREN,497900,497900,0,0,0
TP12070005,DDTEKNO,SMARTFREN,5200,5200,0,0,0
TP12070010,DDTEKNO,SMARTFREN,10300,10300,0,0,0
TP12050060,DDTEKNO,SMARTFREN,61350,61350,0,0,0
TP12050029,DDTEKNO,SMARTFREN,29650,29650,0,0,0
TP12030014,DDTEKNO,SMARTFREN,14450,14450,0,0,0
TP12030018,DDTEKNO,SMARTFREN,19450,19450,0,0,0
TP12030027,DDTEKNO,SMARTFREN,29200,29200,0,0,0
TP12040028,DDTEKNO,SMARTFREN,29100,29100,0,0,0
TP12030037,DDTEKNO,SMARTFREN,38900,38900,0,0,0
TP12030045,DDTEKNO,SMARTFREN,48650,48650,0,0,0
TP12020047,DDTEKNO,SMARTFREN,48450,48450,0,0,0
TP12030062,DDTEKNO,SMARTFREN,65250,65250,0,0,0
TP12020071,DDTEKNO,SMARTFREN,72500,72500,0,0,0
TP12020081,DDTEKNO,SMARTFREN,82200,82200,0,0,0
TP12030082,DDTEKNO,SMARTFREN,85650,85650,0,0,0
TP12030085,DDTEKNO,SMARTFREN,86600,86600,0,0,0
TP12030105,DDTEKNO,SMARTFREN,106600,106600,0,0,0
TP12040143,DDTEKNO,SMARTFREN,145800,145800,0,0,0
